"simulation","statistic","p_value","asymptotic_statistic","asymptotic_p_value","score_stationarity","information_rank","covariance_rank","nu","loglik","elapsed_seconds","error"
73,19.9205289023185,0.2995,94.0693038071328,7.99749270492008e-05,0.0682721253679623,66,48,21.1514425948398,-33355.7688507149,23.883,NA
74,24.3475616355128,0.11,53.518705492768,0.27076965362098,0.0582125796545293,66,48,19.1121079046748,-33539.1003993527,24.666,NA
75,20.6699778059121,0.251,53.6108283086705,0.267886066252215,0.0648818063215526,66,48,20.0513838834054,-33453.6535366253,23.714,NA
76,21.0737279285781,0.2425,52.5143991331193,0.303402011713229,0.0607807862707682,66,48,18.7520495064191,-33387.112906833,21.556,NA
77,15.2447972478804,0.6485,43.9020998031537,0.6413872730396,0.0643802709714124,66,48,19.6925343910027,-33740.0571673564,22.212,NA
78,33.5058108207856,0.011,66.6327190162697,0.0387113647633357,0.0642034314563783,66,48,20.9656407149271,-33235.8159620362,21.7520000000001,NA
79,16.3367264094561,0.5585,64.6241657085963,0.0548918727388443,0.0607294460221022,66,48,21.1549567517349,-33354.7336792992,22.775,NA
80,19.4852072723424,0.386,64.8134557327829,0.0531536142412881,0.0653731034296253,66,48,21.3137872689675,-33476.0261965474,23.6130000000001,NA
81,15.3730261966659,0.653,55.2732210210552,0.219134982951138,0.0540295628286556,66,48,20.544636682585,-33231.3947766077,24.299,NA
82,24.9637806824232,0.1105,68.4226807740557,0.0279605979213078,0.0632565629679282,66,48,20.5269571431236,-33556.333643317,20.979,NA
83,14.6805619796257,0.7395,50.4239699404686,0.377832990581772,0.0575560574788418,66,48,19.3721853289255,-33726.8329845519,24.444,NA
84,16.3205799268832,0.5445,50.9062294646302,0.359945236144735,0.0632850284795789,66,48,20.9822862623152,-33559.8266862525,22.126,NA
85,13.1153635749827,0.8025,37.7229758334948,0.856643847978872,0.0520291536809719,66,48,19.0845244712075,-33339.9409879397,27.283,NA
86,23.6762668424489,0.1555,55.1788900238318,0.221732551423446,0.0531072700051672,66,48,18.0853151428843,-33336.7169325683,25.394,NA
87,11.7954443869164,0.888,75.3568782620125,0.0070573993406946,0.0730418870365765,66,48,22.4500455344871,-33426.7461800106,23.51,NA
88,23.327074651044,0.149,98.0955536376944,2.70757412568036e-05,0.0565663722577985,66,48,18.2712563006696,-33447.3319135665,25.081,NA
89,14.1781862515934,0.7285,37.6049935770967,0.859822735068641,0.065137888057096,66,48,22.0668130790416,-33320.6732069482,23.461,NA
90,13.5487434316602,0.7665,58.8928449253186,0.134755278484897,0.0602696404034159,66,48,22.9016367010563,-33311.7147077088,25.476,NA
91,18.7441693564331,0.382,60.1462951260951,0.112174478553728,0.0739886168163979,66,48,22.2921712473856,-33414.6878270493,23.805,NA
92,13.7081280240173,0.784,41.0026077138488,0.752756300780678,0.0641436325916978,66,48,21.5564722115237,-33406.2685367902,25.399,NA
93,21.2999507023601,0.2215,58.1880502584871,0.148896381014407,0.0631993900455659,66,48,21.4720360358212,-33313.2171713797,24.332,NA
94,19.1815245955919,0.3755,52.5660091573258,0.301672714903856,0.0624804715165045,66,48,18.5628915110938,-33568.5110806055,26.6420000000001,NA
95,17.0264800807887,0.488,60.4132258932079,0.107773436930244,0.0539943866633225,66,48,16.7662598072548,-33502.3983252712,28.537,NA
96,19.1909510733583,0.3325,39.5012058845582,0.803854994384347,0.0695575097918538,66,48,19.7842084261862,-33777.3589023996,23.978,NA
97,14.4507905885788,0.704,46.0834073799725,0.55169339446839,0.0593384641404537,66,48,19.6081574834315,-33467.9136206995,26.992,NA
98,15.2844753213635,0.647,38.2443545424176,0.842102816339851,0.0561173883272155,66,48,18.3978409467411,-33685.8879167344,26.559,NA
99,24.2812411931149,0.1285,62.6348086023074,0.0762537779679112,0.0521247019221171,66,48,17.7646462159356,-33403.1710358513,25.7950000000001,NA
100,16.9337043626039,0.5395,46.488834170097,0.534900296081739,0.0572910784111579,66,48,19.087836267083,-33434.2956805291,23.0360000000001,NA
